Title,Artist,Lyrics
Homicide,Logic feat. Eminem,"Son, you know why you the greatest alive?
Why, Dad?
Because you came out of my balls, nigga
Hahahahahaha
(Roof!)

Fuck rap
Bustin' like an addict with a semi-automatic
Who done had it, and he ready for anybody to buck back
Hold up, catch a vibe, ain't no way in hell we leavin' nobody alive
Leave a suicide note, fuck that
Bobby feelin' villainous, he killin' this
I'm comin' for your man and his lady and even the baby
I'm feelin' like I'm, chika-chika-chika, Slim Shady with rabies

I'm foamin' at the mouth, ain't nobody takin' me out
Every single rapper in the industry, yeah, they know what I'm about
And I dare you to test me
'Cause not a single one of you motherfuckers impress me
And maybe that's a little bit of an exaggeration
But I'm full of innovation
And I'm tired of all of this high school ""He's cool, he's not"" rap shit
Can a single one of you motherfuckers even rap? Shit
No, this ain't a diss to the game, this a gas to the flame
Nowadays, everybody sound the same, shit's lame
Like a moth to the flame, I'ma reel 'em in and kill 'em
Know you feelin' lyricism when I'm spillin' it, I'm feelin' myself
Yeah, yeah, Bobby Boy, he be feelin' himself
Mass murder like this can't be good for my health
When I rap like this, do I sound like shit?
Well, it don't really matter, 'cause I'm killin' this shit
Yeah, I'm killin' this shit
Oh yeah, oh yeah, I'm killin' this shit
Bobby, how many times you been killin' this shit?
Find another rhyme, goddamn, nigga, shit

Fuck rap
Bustin' like an addict with a semi-automatic
Who done had it, and he ready for anybody to buck back
Hold up, catch a vibe, ain't no way in hell we leavin' nobody alive
Leave a suicide note, fuck that
Bobby feelin' villainous, he killin' this
I'm comin' for your man and his lady and even the baby
I'm feelin' like I'm, chika-chika-chika-chika
Chika-chika-chika-chika-chika, Slim Shady

There's nowhere to hide, we call this shit genocide
Hit 'em with that (Do-do-do) and they die
..."
River (feat. Ed Sheeran),Eminem feat. Ed Sheeran,"I've been a liar, been a thief
Been a lover, been a cheat
All my sins need holy water, feel it washing over me
Well, little one, I don't want to admit to something
If all it's gonna cause is pain
Truth and my lies right now are falling like the rain
So let the river run

He's comin' home with his neck scratched, to catch flack
Sweat jackets and dress slacks, mismatched
On his breath's Jack, he's a sex addict
And she just wants to exact revenge and get back
It's a chess match, she's on his back like a jet-pack
She's kept track of all his Internet chats
And guess who just happens to be movin' on to the next
Actually, just shit on my last chick and she has what my ex lacks
'Cause she loves danger, psychopath
And you don't fuck with no man's girl, even I know that
But she's devised some plan to stab him in the back
Knife in hand, says their relationship's hangin' by a strand
So she's been on the web lately
Says maybe she'll be my Gwen Stacy, to spite her man
And I know she's using me to try to play him, I don't care
Hi Suzanne, but I shoulda said ""Bye Suzanne""
After the first night, but tonight I am

I've been a liar, been a thief
Been a lover, been a cheat
All my sins need holy water, feel it washing over me
Well, little one, I don't want to admit to something
..."
Last One Standing,"Skylar Grey feat. Polo G, Mozzy & Eminem","Now you see me standin' in the lights
But you never saw my sacrifice
Or all the nights I had to struggle to survive
Had to lose it all to win the fight
I had to fall so many times
(Oh-oh-oh) now I'm the last one standin'

Uh, you weren't with me on the cold block nights
Now you front row for the spotlight
Now the diamonds in the Audemars bright
Jets overseas for a far flight (oh-oh-oh)
Young nigga on bullshit, and I ball on 'em, Bill Cartwright
Knew I could shine through the darkness
I guess I always been a star type

That lion in me made my heart fight
Could've been a victim of a opp pipe
Took a million risks just to get to this
'Cause we ain't the ones that the cops like
Been so many times God tested me
They only see the answers I got right
They commentin' all on the blogs
Tryna tell me how to live my life

And I waited so patiently
If you could take off, don't wait for me
No days off, grind faithfully
I keep thankin' God for savin' me
Front line, showcasin' our bravery
I know that top spot, it was made for me
It all paid off, so we felt the struggle so painfully

Now you see me standin' in the lights
But you never saw my sacrifice
Or all the nights I had to struggle to survive
Had to lose it all to win the fight
I had to fall so many times
(Oh-oh-oh) now I'm the last one standin'

..."
Survival,Eminem,"This is survival of the fittest
This is do or die
This is the winner takes it all
So take it all, a-all, a-all, a-all

Wasn't ready to be no millionaire, I was ill-prepared
I was prepared to be ill though, the skill was there
From the beginning, it wasn't 'bout the ends
It was 'bout busting raps and standing for something, fuckin' acronym
Cut the fucking act like you're happy, I'm fucking back again
With another anthem, why stop when it doesn't have to end?
It ain't over 'til I say it's over, enough when I say enough
Throw me to them wolves and close the gate up
I'm afraid of what'll happen to them wolves, when the thought
Of being thrown into an alligator pit, I salivate at it, wait is up
Hands up like it's 12 noon, nah homie, hold them bitches straighter up
Wave 'em 'til you dislocate a rotator cuff, came up rough
Came to ruffle feathers, nah, egos, I ain't deflate enough

Last chance to make this whole stadium erupt

'Cause this is survival of the fittest
This is do or die

This is the winner takes it all
So take it all, a-all, a-all, a-all

I can see the finish line with each line that I finish
I'm so close to my goals, I can almost pole vault over the goal post
..."
Dior,Pop Smoke,"(Traphouse Mob)
Huh, roll another one

Said I'm never lackin', always pistol packing
With them automatics, we gon' send him to heaven
Wait, wait, wait, wait, ayy, ayy, woo (aw, shit), huh?
Oh, you feelin' sturdy, huh? (You feelin' sturdy, man)
Let me see somethin'
Shake it, shake it, shake it

She like the way that I dance
She like the way that I move
She like the way that I rock
She like the way that I woo
And she let it clap for a nigga
(She let it clap for a nigga)
And she throw it back for a nigga
(Yeah, she throw it back for a nigga)

Mike Amiri, Mike Amiri
Billie Jean, Billie Jean, uh
Christian Dior, Dior
I'm up in all the stores
When it rains, it pours
She like the way I rrr

Mike Amiri, Mike Amiri
Billie Jean, Billie Jean, uh
Christian Dior, Dior
..."
For The Night (feat. Lil Baby & DaBaby),Pop Smoke feat. Lil Baby & DaBaby,"CashMoneyAP
Get 'em, get 'em, get 'em, oh
Oh (I'm tryna fuckin' get 'em), oh (I'm tryna fuckin' get 'em)
Oh, oh (get 'em), oh
Oh (gettin' big on this), oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh
What do you want? Won't tell you twice, yeah
I'm a thief in the night (thief in the night), oh

I did some wrongs (oh, oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
I'm real discreet, like a thief in the night

Look, if I call you bae, you bae for the day
Or bae for the night, you not my wife
She want a killer to fuck all night
I wanna fuck on a thot, gimme head all night
AP, big rocks, in the hood with the 'rillas
Five K on the dinner, bring 300 thou' to the dealer

I did some wrongs (oh, oh), but I'm always right (oh, oh)
Said, ""I know how to shoot"" (oh), and I know how to fight
If I tell you once, won't tell you twice
..."
What You Know Bout Love,Pop Smoke,"Uh

Shawty go jogging every morning (every morning)
And she make me breakfast almost every morning (every morning)
And she take a naked pic' before she leave the door
I be waking up to pics' before a nigga yawning

And every weekend my shawty comin' over (over)
Shawty could Fendi out, but she like Fashion Nova (Nova)
She ain't driving no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
..."
Mood Swings (feat. Lil Tjay),Pop Smoke feat. Lil Tjay,"Mood swings
Oh, you ain't know I could sing? (oh, oh, oh)
Hahaha (yeah)

Shorty a lil' baddie (she a lil' baddie)
Shorty my lil' boo thing (boo thing)
And shorty got the fatty
Shorty be catching mood swings
Every time I fuck without a rubber
I nutted on the covers
And I kept it undercover
'Cause I don't kiss and tell (kiss and tell)

Every time I fuck, she call me daddy
My lil' mama nasty
I see the pussy through the panties (whatever you want)
She taste like candy
She a queen, like Nefertiti
Uh-oh, my lil' mama sittin' pretty
And we be shoppin' through the city (oh, oh)
I gave her keys to the Bentley (woah, woah)

Get off your knees, you don't gotta cry to me
I'm your best friend, baby, you don't gotta lie
I'll get you everything that you want
And that you need from Chanel to Celine
It's on you to decide
Valentino, yeah, I put you in the best
Start liftin' up your dress, start kissin' on your neck (oh, no, no)

..."
Invincible,Pop Smoke,"Yeah
Yeah, yeah
I said, I feel invincible (Yoz, what you tellin' me?)
They like, ""Poppy, what you gettin' to?"" (To, to)
I pop a Perc', go retarded, wait
Haha, hahaha
Yeah (Ahaha), yeah, yeah, yeah
Woo, woo, yeah (To, to, grrt, grrt)
Yeah, yeah

I said, I feel invincible (Huh)
It's a hundred niggas in the spot
I'm walkin' through 'em (I'm walkin' through 'em)
It's 85 just to walk on
I don't talk to these niggas (Nah)
'Cause a lot of these niggas be corny (Corny)
I'm feeling horny (I'm feeling horny)
And I shoot like Robert Horry (Horry)
I'm off this percolator shit (Woo)
I got a percolated bitch (Percolated bitch)
I give her this percolated dick (Yeah)
I show her these percolated tricks

..."
GATTI,JACKBOYS feat. Pop Smoke & Travis Scott,"AXL
Hahaha, huh?
Hahaha
Tired of niggas cappin' (tired of niggas cappin')
Trap House Mob
Niggas frontin' their jewels (yeah, this is a Melo beat)
They ain't expectin' this one (and it's like that)

Facts, my bitch love coco
Woo back, baby (woo back, baby)
Woo (haha, yeah)
Let me see some
Okay, okay (I see it)
Okay, okay

Look, you cannot say Pop and forget the Smoke (yeah)
I'm from the Floss where niggas tote (woah)
They couldn't be Crips, so they turned Folks (bah)
Drivin' through the 'Ville, droppin' the cho (brr)
I gotta laugh, 'cause these niggas jokes
Dread like, ""Who these niggas?"" (Who these niggas?)
""I don't know"" (I don't know), but I'm on go (woo)

And I'm in that Bugatti, movin' two hundred (bah)
Givin' pumps, like, ""Who shot ya?"" (Brr)
Me and Trey, that's four choppers (woo)
Man down (woo), all you see is helicopters (grr)
Paramedics pick him up, they gon' send him to the doctor (get that nigga)

..."
Element,Pop Smoke,"I might just hit it raw, hold on, that's not my element
I like dark skins, love her melanin
Huh, Christian Louboutin what I'm steppin' in
Thirty bottles of Azul, tell 'em send 'em in
I had the Lambo', switch to the 'Rari
I'm a gangster, but I like to party
Pop a Perky, go retarded
I'm a Brooklyn nigga, I'm cold-hearted

That's why I like the bad gyal (Woah), like RiRi (Wait)
Every time she see me, she wanna eat me (Hold on)
I saw like Justin Bieber, please believe me
I said, ""Wow, I'm on the TV""

I can't fuck with broke bitches, they be creepy
She be actin' up, she always tryna leave me
But she a bad gyal, and she freaky
I have her hangin' off the rod like she MiMi
..."
